Question,BestAnswer,SystemRank
"about uveitis. IS THE UVEITIS, AN AUTOIMMUNE DISEASE?","Uveitis: Uveitis is swelling and irritation of the uvea. The uvea is the middle layer of the eye. The uvea provides most of the blood supply to the retina. Uveitis can be caused by autoimmune disorders. These diseases occur when the body's immune system attacks and destroys healthy body tissue by mistake. Examples are: - Ankylosing spondylitis - Psoriasis - Reactive arthritis - Rheumatoid arthritis - Sarcoidosis - Ulcerative colitis Uveitis can also be caused by infections such as: - AIDS - Cytomegalovirus (CMV) retinitis - Herpes zoster infection - Histoplasmosis - Kawasaki disease - Syphilis - Toxoplasmosis - Tuberculosis Exposure to toxins or injury can also cause uveitis. In many cases, the cause is unknown. The most common form of uveitis involves inflammation the front part of the eye. It is often called iritis because it most often only affects the iris. The iris is the colored part of the eye. In most cases, it occurs in healthy people. The disorder may affect only one eye. It is most common in young and middle-aged people. Posterior uveitis affects the back part of the eye. It involves primarily the choroid. This is the layer of blood vessels and connective tissue in the middle layer of the eye. This type of uveitis is called choroiditis. If the retina is also involved, it is called chorioretinitis. Another form of uveitis is pars planitis. Changes involve the narrowed area (pars plana) between the colored part of the eye (iris) and the choroid. Pars planitis most often occurs in young men. It is generally not associated with any other disease. However, it may be linked to Crohn disease and possibly multiple sclerosis. Uveitis can affect one or both eyes. Symptoms may develop rapidly and can include: - Blurred vision - Dark, floating spots in the vision - Eye pain - Redness of the eye - Sensitivity to light The health care provider will take a complete medical history and do an eye exam. Lab tests may be done to rule out infection or a weak immune system. If you are over age 25 and have pars planitis, your provider will suggest a brain and spine MRI. This will rule out multiple sclerosis. Iritis (anterior uveitis) is most often mild. Treatment may involve: - Dark glasses - Eye drops that dilate the pupil to relieve pain - Steroid eye drops Pars planitis is often treated with steroid eye drops. Other medicines, including steroids taken by mouth, may be used to help suppress the immune system. Posterior uveitis treatment depends on the underlying cause. It almost always includes steroids taken by mouth. If the uveitis is caused by a body-wide (systemic) infection, you may be given antibiotics. You may also be given powerful anti-inflammatory medicines called corticosteroids. With proper treatment, most attacks of anterior uveitis go away in a few days to weeks. However, the problem often returns. Posterior uveitis may last from months to years. It may cause permanent vision damage, even with treatment. Complications may include: - Cataracts - Fluid within the retina - Glaucoma - Irregular pupil - Retinal detachment - Vision loss Symptoms that need urgent medical care are: - Eye pain - Reduced vision If you have a body-wide (systemic) infection or disease, treating the condition will prevent uveitis. Updated by: Franklin W. Lusby, MD, ophthalmologist, Lusby Vision Institute, La Jolla, CA. Also reviewed by David Zieve, MD, MHA, Isla Ogilvie, PhD, and the A.D.A.M. Editorial team.",10.0
"achalasia. after surgery for achalasia, will spasms continue in the upper chest area and if so what can assist in ending spasms","Gastroesophageal reflux - discharge (Drug Treatment): Antacids can help neutralize your stomach acid. They do not help to treat the irritation in your esophagus. Common side effects of antacids include diarrhea or constipation. Other over-the-counter drugs and prescription drugs can treat GERD. They work more slowly than antacids but give you longer relief. Your provider can tell you how to take these drugs. There are two different types of these drugs: H2 antagonists: famotidine (Pepcid), cimetidine (Tagamet), ranitidine (Zantac), and nizatidine (Axid) Proton pump inhibitors (PPI): omeprazole (Prilosec or Zegarid), esomeprazole (Nexium), lansoprazole (Prevacid), dexlansoprazole (Dexilant), rabeprazole (AcipHex), and pantoprazole (Protonix)",10.0
"Ankle injury. I got hurt in my left leg ankle almost 5 months ago. I went to doctor, got x-ray, where no damage was found. He suggested me some pain killers and advised me to wear anklet. I have been following the instruction since then; I went to another doctor who advised me to go for physiotherapy (Short Wave Diathermy) and advised me some exercises. I have been following them too. But yet now, I have not been fully recovered from the pain. Especially when I try to walk quickly or try to put pressure with my left leg, I feel pain. I am very tensed about this. Can you please suggest me how to overcome the pain. Thanks.","Earache (Causes): The eustachian tube runs from the middle part of each ear to the back of the throat. This tube drains fluid that is made in the middle ear. If the eustachian tube becomes blocked, fluid can build up. This may lead to pressure behind the eardrum or an ear infection. Ear pain in adults is less likely to be from an ear infection. Pain that you feel in the ear may be coming from another place, such as your teeth, the joint in your jaw (temporomandibular joint), or your throat. This is called ""referred"" pain. Causes of ear pain may include: Arthritis of the jaw Short-term ear infection Long-term ear infection Ear injury from pressure changes (from high altitudes and other causes) Object stuck in the ear or buildup of ear wax Hole in the eardrum Sinus infection Sore throat Temporomandibular joint syndrome (TMJ) Tooth infection Ear pain in a child or infant may be due to infection. Other causes may include: Ear canal irritation from cotton-tipped swabs Soap or shampoo staying in the ear",9.0
"Body Lice. How do I get rid of these little devils? Me and My mom have tried so many things to get rid of these bugs and they just don't go away were the family that takes 2 showers and now about 3 showers a day we never understood how they could have infected us but I was just wondering is washing our clothes the best bet to get rid of these things, because apparently it hasn't worked for us. So is there any suggestions?","Head lice (Causes): Head lice infect hair on the head. Tiny eggs on the hair look like flakes of dandruff. However, instead of flaking off the scalp, they stay in place. Head lice can live up to 30 days on a human. Their eggs can live for more than 2 weeks. Head lice spread easily, particularly among school children. Head lice are more common in close, overcrowded living conditions. You can get head lice if: You come in close contact with a person who has lice. You touch the clothing or bedding of someone who has lice. You share hats, towels, brushes, or combs of someone who has lice. Having head lice causes intense itching but does not lead to serious medical problems. Unlike body lice, head lice never carry or spread diseases. Having head lice does NOT mean the person has poor hygiene or low social status.",10.0
burn to my wrist. Hello I burnt my wrist 2 days ago and after last night ive woken up with a swollen had its really noticeable to other people but I ca feel the skin has gone tight when I put it against the other hand you can see its bigger what should I do about this?,"Sprains and Strains (Who gets them? Who gets sprains and strains?): Anyone can get a sprain or strain. Sprains happen most often in the ankle. However, if you fall and land on their hand, you can sprain your wrist. Skiing and other sports can make it more likely for you to sprain your thumb. Strains are most common in your back and the hamstring muscle in the back of your thigh. Certain sports can make it more likely for you to have a strain in the back or legs. For example: Soccer.Football.Hockey.Boxing.Wrestling.If you play sports that use your hands and arms a lot, you may be more likely to have a strain in your arm or hand. For example: Gymnastics.Tennis.Rowing.Golf.Anyone can get a sprain or strain. Sprains happen most often in the ankle. However, if you fall and land on their hand, you can sprain your wrist. Skiing and other sports can make it more likely for you to sprain your thumb. Strains are most common in your back and the hamstring muscle in the back of your thigh. Certain sports can make it more likely for you to have a strain in the back or legs. For example: Soccer.Football.Hockey.Boxing.Wrestling.If you play sports that use your hands and arms a lot, you may be more likely to have a strain in your arm or hand. For example: Gymnastics.Tennis.Rowing.Golf.",9.0
"Can a 40 year old get throat cancer.... I have drank a lot of alcohol and lots of drugs. Not very many fruits and vegetables. This year I have gotten strep throat twice and sore throats with ear aches. Antibiotics have taken 4 different kinds this year alone. Raspy voice, very painful when swallowing","Trigger thumb (Trigger thumb, Recurrent trigger thumb (type) , Bilateral trigger thumb (type) , Congenital trigger thumb (type)): This table lists symptoms that people with this disease may have. For most diseases, symptoms will vary from person to person. People with the same disease may not have all the symptoms listed. This information comes from a database called the Human Phenotype Ontology (HPO) . The HPO collects information on symptoms that have been described in medical resources. The HPO is updated regularly. Use the HPO ID to access more in-depth information about a symptom. Showing of Medical Terms Other Names Learn More: HPO ID Percent of people who have these symptoms is not available through HPO Abnormality of the thumb Abnormality of the thumbs Thumb deformity 0001172 Autosomal dominant inheritance 0000006 Showing of If you need medical advice, you can look for doctors or other healthcare professionals who have experience with this disease. You may find these specialists through advocacy organizations, clinical trials, or articles published in medical journals. You may also want to contact a university or tertiary medical center in your area, because these centers tend to see more complex cases and have the latest technology and treatments. If you can't find a specialist in your local area, try contacting national or international specialists. They may be able to refer you to someone they know through conferences or research efforts. Some specialists may be willing to consult with you or your local doctors over the phone or by email if you can't travel to them for care. You can find more tips in our guide, How to Find a Disease Specialist. We also encourage you to explore the rest of this page to find resources that can help you find specialists. Healthcare Resources To find a medical professional who specializes in genetics, you can ask your doctor for a referral or you can search for one yourself. Online directories are provided by the American College of Medical Genetics and the National Society of Genetic Counselors. If you need additional help, contact a GARD Information Specialist. You can also learn more about genetic consultations from Genetics Home Reference.",10.0
Chronic lymphocytic leukemia. How can I get Information on Cronic Lymphocytice Leukemia sent to me thru MedlinkPlus or which way you will send them.,"Chronic lymphocytic leukemia (CLL) (When to Contact a Medical Professional): Call a provider if you develop enlarged lymph nodes or unexplained fatigue, bruising, excessive sweating, or weight loss.",10.0
ClinicalTrials.gov - Compliment. Hi I have retinitis pigmentosa for 3years. Im suffering from this disease. Please intoduce me any way to treat mg eyes such as stem cell ....I am 25 years old and I have only central vision. Please help me. Thank you,"Gastroesophageal reflux - discharge (Drug Treatment): Antacids can help neutralize your stomach acid. They do not help to treat the irritation in your esophagus. Common side effects of antacids include diarrhea or constipation. Other over-the-counter drugs and prescription drugs can treat GERD. They work more slowly than antacids but give you longer relief. Your provider can tell you how to take these drugs. There are two different types of these drugs: H2 antagonists: famotidine (Pepcid), cimetidine (Tagamet), ranitidine (Zantac), and nizatidine (Axid) Proton pump inhibitors (PPI): omeprazole (Prilosec or Zegarid), esomeprazole (Nexium), lansoprazole (Prevacid), dexlansoprazole (Dexilant), rabeprazole (AcipHex), and pantoprazole (Protonix)",10.0
ClinicalTrials.gov - General Complaint. Please help me out as to whom to consult for anxiety and depression,"Drug allergies (Drug allergies, Allergic reaction - drug (medication) , Drug hypersensitivity , Medication hypersensitivity): Drug allergies are a group of symptoms caused by an allergic reaction to a drug (medicine). A drug allergy involves an immune response in the body that produces an allergic reaction to a medicine. The first time you take the medicine, you may have no problems. But, your body's immune system may produce a substance (antibody) against that drug. The next time you take the drug, the antibody may tell your white blood cells to make a chemical called histamine. Histamines and other chemicals cause your allergy symptoms. Common allergy-causing drugs include: Drugs used to treat seizures Insulin (especially animal sources of insulin) Substances containing iodine, such as x-ray contrast dyes (these can cause allergy-like reactions) Penicillin and related antibiotics Sulfa drugs Most side effects of drugs are not due to an allergic reaction. For example, aspirin can cause hives or trigger asthma without involving the immune system. Many people confuse an unpleasant, but not serious, side effect of a medicine (such as nausea) with a drug allergy. Most drug allergies cause minor skin rashes and hives. These symptoms may occur right away or hours after receiving the drug. Serum sickness is a delayed type of drug allergy that occurs a week or more after you are exposed to a medicine or vaccine. Common symptoms of a drug allergy include: Hives Itching of the skin or eyes (common) Skin rash (common) Swelling of the lips, tongue, or face Wheezing Symptoms of anaphylaxis include: Abdominal pain or cramping Confusion Diarrhea Difficulty breathing with wheezing or hoarse voice Dizziness Fainting, lightheadedness Hives over different parts of the body Nausea, vomiting Rapid pulse Sensation of feeling the heart beat (palpitations) An examination may show: Decreased blood pressure Hives Rash Swelling of the lips, face, or tongue (angioedema) Wheezing Skin testing may help diagnose an allergy to penicillin-type medicines. There are no good skin or blood tests to help diagnose other drug allergies. If you have had allergy-like symptoms after taking a medicine or receiving contrast (dye) before getting an x-ray, your health care provider will often tell you that this is proof of a drug allergy. You do not need more testing. The goal of treatment is to relieve symptoms and prevent a severe reaction. Treatment may include: Antihistamines to relieve mild symptoms such as rash, hives, and itching Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin, given by mouth, or given through a vein (intravenously) Epinephrine by injection to treat anaphylaxis The offending medicine and similar drugs should be avoided. Make sure all your providers -- including dentists and hospital staff -- know about any drug allergies that you or your children have. In some cases, a penicillin (or other drug) allergy responds to desensitization. This treatment involves being given very small doses at first, followed by larger and larger doses of a medicine to improve your tolerance of the drug. This process should be done only by an allergist, when there is no alternative drug for you to take. Most drug allergies respond to treatment. But sometimes, they can lead to severe asthma, anaphylaxis, or death. Call your provider if you are taking a medicine and seem to be having a reaction to it. Go to the emergency room or call the local emergency number (such as 911) if you have difficulty breathing or develop other symptoms of severe asthma or anaphylaxis. These are emergency conditions. There is generally no way to prevent a drug allergy. If you have a known drug allergy, avoiding the drug is the best way to prevent an allergic reaction. You may also be told to avoid similar medicines. In some cases, a provider may approve the use of a drug that causes an allergy if you are first treated with medicines that slow or block the immune response. These include corticosteroids (such as prednisone) and antihistamines. Do not try this without a provider's supervision. Pretreatment with corticosteroids and antihistamines has been shown to prevent allergic reactions in people who need to get x-ray contrast dye. Your provider may also recommend desensitization. Updated by: Stuart I. Henochowicz, MD, FACP, Associate Clinical Professor of Medicine, Division of Allergy, Immunology, and Rheumatology, Georgetown University Medical School, Washington, DC. Also reviewed by David Zieve, MD, MHA, Medical Director, Brenda Conaway, Editorial Director, and the A.D.A.M. Editorial team.",11.0
"ClinicalTrials.gov - Question - general information. Please i really need your reply and your help :( My wife has Allergy from all milk products and whenever she drinks or eats any thing contains small amount of any milk products she goes to the hospital. I have faith that there is a cure for that but i really donno what to say to her. She thinks that she will never be cured. So please can you tell me is there is any cure for milk products allergy, any cure? or any cure in the very near future? I will be very very very grateful if you replied, Thanks alot. :)","Gastroesophageal reflux - discharge (Drug Treatment): Antacids can help neutralize your stomach acid. They do not help to treat the irritation in your esophagus. Common side effects of antacids include diarrhea or constipation. Other over-the-counter drugs and prescription drugs can treat GERD. They work more slowly than antacids but give you longer relief. Your provider can tell you how to take these drugs. There are two different types of these drugs: H2 antagonists: famotidine (Pepcid), cimetidine (Tagamet), ranitidine (Zantac), and nizatidine (Axid) Proton pump inhibitors (PPI): omeprazole (Prilosec or Zegarid), esomeprazole (Nexium), lansoprazole (Prevacid), dexlansoprazole (Dexilant), rabeprazole (AcipHex), and pantoprazole (Protonix)",10.0
ClinicalTrials.gov - Suggestion. Please help me with my brother with locked-in syndrome in Martinique for 3 years.Somebody please help. God bless . NAME,"Gastroesophageal reflux - discharge (Drug Treatment): Antacids can help neutralize your stomach acid. They do not help to treat the irritation in your esophagus. Common side effects of antacids include diarrhea or constipation. Other over-the-counter drugs and prescription drugs can treat GERD. They work more slowly than antacids but give you longer relief. Your provider can tell you how to take these drugs. There are two different types of these drugs: H2 antagonists: famotidine (Pepcid), cimetidine (Tagamet), ranitidine (Zantac), and nizatidine (Axid) Proton pump inhibitors (PPI): omeprazole (Prilosec or Zegarid), esomeprazole (Nexium), lansoprazole (Prevacid), dexlansoprazole (Dexilant), rabeprazole (AcipHex), and pantoprazole (Protonix)",10.0
